name_with_owner,created_at,collected_at,age_years,accepted_pull_requests
react/react-native,2015-01-09 18:10:16+00:00,2026-08-13 22:53:59+00:00,11.592599659036175,999
kubernetes/kubernetes,2014-06-06 22:56:04+00:00,2026-08-13 22:53:59+00:00,12.186169892514005,65646
ggml-org/llama.cpp,2023-03-10 18:58:00+00:00,2026-08-13 22:53:59+00:00,3.4282378571247496,9668
electron/electron,2013-04-12 01:47:36+00:00,2026-08-13 22:53:59+00:00,13.338478940096838,26499
shadcn-ui/ui,2023-01-04 12:43:27+00:00,2026-08-13 22:53:59+00:00,3.606910284685781,1434
rustdesk/rustdesk,2020-09-28 15:36:08+00:00,2026-08-13 22:53:59+00:00,5.873522416153319,4198
nodejs/node,2014-11-26 19:57:11+00:00,2026-08-13 22:53:59+00:00,11.712861814586661,13158
justjavac/free-programming-books-zh_CN,2013-11-04 01:59:19+00:00,2026-08-13 22:53:59+00:00,12.774459401221893,300
Hack-with-Github/Awesome-Hacking,2016-03-30 15:47:10+00:00,2026-08-13 22:53:59+00:00,10.37179028189723,41
microsoft/generative-ai-for-beginners,2023-06-19 16:28:59+00:00,2026-08-13 22:53:59+00:00,3.151998250817553,601
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30 11:36:31+00:00,2026-08-13 22:53:59+00:00,0.7021778588992826,138
godotengine/godot,2014-01-04 16:05:36+00:00,2026-08-13 22:53:59+00:00,12.605841477171902,43320
rust-lang/rust,2010-06-16 20:39:03+00:00,2026-08-13 22:53:59+00:00,16.159051892412606,73425
mrdoob/three.js,2010-03-23 18:58:01+00:00,2026-08-13 22:53:59+00:00,16.391961302507163,15961
2dust/v2rayN,2019-07-30 03:47:24+00:00,2026-08-13 22:53:59+00:00,7.041194355717798,593
d3/d3,2010-09-27 17:22:42+00:00,2026-08-13 22:53:59+00:00,15.877426578700534,495
jaywcjlove/awesome-mac,2016-07-17 15:33:47+00:00,2026-08-13 22:53:59+00:00,10.073389991634345,1239
immich-app/immich,2022-02-03 15:56:27+00:00,2026-08-13 22:53:59+00:00,4.523723350318148,9987
tauri-apps/tauri,2019-07-13 09:09:37+00:00,2026-08-13 22:53:59+00:00,7.087125193297336,5662
microsoft/TypeScript,2014-06-17 15:28:39+00:00,2026-08-13 22:53:59+00:00,12.15690420057292,14893
axios/axios,2014-08-18 22:30:27+00:00,2026-08-13 22:53:59+00:00,11.986355489644334,1482
browser-use/browser-use,2024-10-31 16:00:56+00:00,2026-08-13 22:53:59+00:00,1.783126188303293,1891
