rq,metric,unit,row_type,participant_id,difficulty_block,treatment,manual_trial_id,ai_trial_id,n_expected,n_valid,n_missing,n_pairs,n_ties,n_nonzero,n_participants,median,q1,q3,iqr,minimum,maximum,manual_value,ai_value,difference,p_value,p_holm,rank_biserial,ci_low,ci_high,ci_method,note
RQ1,completed,0/1,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,1.0000,1.0000,0.0000,,,,,,,
RQ1,completed,0/1,comparison,,,,,,9,9,0,9,,,3,,,,,,,,,0.0000,,,,,,,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ1,completed,0/1,participant_level_comparison,,,,,,3,3,0,,,,3,,,,,,,,,0.0000,,,,,,,sensibilidade: uma mediana por participante
RQ1,completed,0/1,participant_comparison,P01,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ1,completed,0/1,participant_comparison,P02,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ1,completed,0/1,participant_comparison,P03,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ2,success_rate,%,treatment,,,manual,,,9,9,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P01,,manual,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P02,,manual,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P03,,manual,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,treatment,,,ai,,,9,9,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P01,,ai,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P02,,ai,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,participant_treatment,P03,,ai,,,3,3,0,,,,,100.0000,100.0000,100.0000,0.0000,100.0000,100.0000,,,,,,,,,,
RQ2,success_rate,%,pair,P01,B1,,P01-K02-manual,P01-K01-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,correção auditada por data-quality-note.json e poll registrado
RQ2,success_rate,%,pair,P01,B2,,P01-K03-manual,P01-K04-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,
RQ2,success_rate,%,pair,P01,B3,,P01-K05-manual,P01-K06-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,
RQ2,success_rate,%,pair,P02,B1,,P02-K02-manual,P02-K01-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,
RQ2,success_rate,%,pair,P02,B2,,P02-K03-manual,P02-K04-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,
RQ2,success_rate,%,pair,P02,B3,,P02-K06-manual,P02-K05-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,
RQ2,success_rate,%,pair,P03,B1,,P03-K01-manual,P03-K02-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,
RQ2,success_rate,%,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,
RQ2,success_rate,%,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,100.0000,100.0000,0.0000,,,,,,,
RQ2,success_rate,%,comparison,,,,,,9,9,0,9,9,0,3,,,,,,,,,0.0000,,,,0.0000,0.0000,pair_bootstrap_95_exploratory,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ2,success_rate,%,participant_level_comparison,,,,,,3,3,0,,3,0,3,,,,,,,,,0.0000,,,,,,,sensibilidade: uma mediana por participante
RQ2,success_rate,%,participant_comparison,P01,,,,,3,3,0,3,3,0,,,,,,,,,,0.0000,,,,,,,
RQ2,success_rate,%,participant_comparison,P02,,,,,3,3,0,3,3,0,,,,,,,,,,0.0000,,,,,,,
RQ2,success_rate,%,participant_comparison,P03,,,,,3,3,0,3,3,0,,,,,,,,,,0.0000,,,,,,,
RQ2,failed_tests,tests,treatment,,,manual,,,9,9,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ2,failed_tests,tests,participant_treatment,P01,,manual,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ2,failed_tests,tests,participant_treatment,P02,,manual,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ2,failed_tests,tests,participant_treatment,P03,,manual,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ2,failed_tests,tests,treatment,,,ai,,,9,9,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ2,failed_tests,tests,participant_treatment,P01,,ai,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ2,failed_tests,tests,participant_treatment,P02,,ai,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ2,failed_tests,tests,participant_treatment,P03,,ai,,,3,3,0,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,
RQ2,failed_tests,tests,pair,P01,B1,,P01-K02-manual,P01-K01-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,correção auditada por data-quality-note.json e poll registrado
RQ2,failed_tests,tests,pair,P01,B2,,P01-K03-manual,P01-K04-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ2,failed_tests,tests,pair,P01,B3,,P01-K05-manual,P01-K06-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ2,failed_tests,tests,pair,P02,B1,,P02-K02-manual,P02-K01-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ2,failed_tests,tests,pair,P02,B2,,P02-K03-manual,P02-K04-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ2,failed_tests,tests,pair,P02,B3,,P02-K06-manual,P02-K05-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ2,failed_tests,tests,pair,P03,B1,,P03-K01-manual,P03-K02-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ2,failed_tests,tests,pair,P03,B2,,P03-K04-manual,P03-K03-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ2,failed_tests,tests,pair,P03,B3,,P03-K05-manual,P03-K06-ai,1,1,0,1,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,
RQ2,failed_tests,tests,comparison,,,,,,9,9,0,9,,,3,,,,,,,,,0.0000,,,,,,,Wilcoxon exploratório: pares do mesmo participante não são independentes
RQ2,failed_tests,tests,participant_level_comparison,,,,,,3,3,0,,,,3,,,,,,,,,0.0000,,,,,,,sensibilidade: uma mediana por participante
RQ2,failed_tests,tests,participant_comparison,P01,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ2,failed_tests,tests,participant_comparison,P02,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ2,failed_tests,tests,participant_comparison,P03,,,,,3,3,0,3,,,,,,,,,,,,0.0000,,,,,,,
RQ3,mean_cyclomatic_complexity,points,treatment,,,manual,,,9,4,5,,,,,8.0000,7.2500,9.0000,1.7500,5.0000,12.0000,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,participant_treatment,P01,,manual,,,3,0,3,,,,,,,,,,,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,participant_treatment,P02,,manual,,,3,1,2,,,,,8.0000,8.0000,8.0000,0.0000,8.0000,8.0000,,,,,,,,,,
RQ3,mean_cyclomatic_complexity,points,participant_treatment,P03,,manual,,,3,3,0,,,,,8.0000,6.5000,10.0000,3.5000,5.0000,12.0000,,,,,,,,,,
