accepted_pull_requests
157
701
2153
29136
7424
26658
210
4400
415
741
0
194
1072
167
13035
0
998
122
11403
94
3088
1136
315
12
20277
7410
48928
309
143
0
3655
52239
7
4783
3417
374
13
370
3882
3537
49693
1779
184
9487
0
17
50
1950
236
1875
20230
317
1270
7341
13476
4080
822
153
222
17285
52
162
494
28257
1646
1016
7013
6999
1
244
242
3082
1417
3961
996
310
856
3167
458
999
9789
65651
26700
1448
4208
13234
140
41
300
601
43417
73628
16008
607
495
204
10044
1245
5676
14898
1897
6
1483
861
444
135
16464
18727
122
9733
174
6660
766
4521
25
1949
507
6601
646
19671
3569
7381
120
109
59
18246
27
22184
482
3476
151
689
122
9801
6214
17730
149
761
1578
914
7
3392
10
702
510
405
13144
14064
1816
311
90180
16837
4143
744
2822
2911
1229
496
20169
3487
1248
26479
8550
10153
732
133
912
484
10691
3199
6812
2931
23
1434
192
1710
7514
1
309
175
435
4660
283
315
687
14
6611
145
2
7919
2046
200
1777
1
12937
570
2141
123
1019
1569
94
59
1805
1763
302
231
8
188
1539
95655
2345
342
938
222
552
63
8699
69561
430
4763
1467
3895
427
171
106
1087
5567
319
2393
82
62701
799
19720
83
1020
929
3598
1580
171
3128
2
180
3655
37
172
5
10382
709
38
505
885
586
87
415
1633
0
4303
23052
2505
9765
9352
1061
145
27
228
194
40061
60720
673
550
568
275
2662
438
3018
571
461
104
0
1524
1468
14719
978
1146
421
911
4496
269
2392
5855
6362
312
8845
8063
1167
578
1
1937
327
1140
42
6814
1570
48
1202
6485
5527
2185
335
610
5213
2821
952
2519
675
0
13303
19516
32
142
450
53
84
42
4
30
2081
1724
45
2311
9244
33
2
1767
3715
9882
670
644
367
270
483
452
1471
162
744
485
49
2799
5465
3937
8314
55
2537
2237
1371
27
1665
31
945
51
4500
903
290
54
178
3204
53
2490
2532
50
6936
1920
471
26870
129
929
790
631
116
2320
846
302
19747
370
310
2130
84
91
869
5264
6153
1657
582
14603
95
3652
98
6446
372
34
5998
5627
18304
130
257
103403
2495
1820
14087
351
8471
170
1
12
18470
16
782
164
123
1073
1697
4067
238
3228
6183
50
9229
56
6696
3627
138
2256
1026
5951
41
101
911
109
221
6801
195
448
10242
5
10620
842
150
5625
198
1441
1715
7948
23882
6
3205
7368
1335
44
53496
9279
313
356
8859
147
4978
3
1159
20655
3834
654
615
974
646
7878
7
5542
11
1179
63
28
1382
29424
73
13651
1145
2
69267
16058
15257
825
147
734
93
27811
1190
46183
808
37
183
730
106
30
6737
261
50
600
288
343
32
3590
901
1239
697
3887
760
187
19
13099
756
628
1958
8645
89
37258
7062
1273
3
1627
133
107
129
185
382
1522
387
3225
0
4162
0
128
203
5142
16
770
100
58
1675
411
668
39752
2674
175
211
321
153
132
1019
16935
1802
467
3151
953
4875
214
13177
79
233
1283
26968
14
617
1254
8380
1583
3327
5965
830
20867
794
188
399
1113
1048
727
2315
2930
462
2830
170
3292
5778
1077
91209
3400
631
709
3556
47
91
7710
775
3813
2600
1534
6532
1223
356
6739
1352
757
8
181
88
15604
32181
7609
1160
646
5733
78
9540
108
558
412
2031
0
269
915
1349
1979
3174
293
211
227
360
478
674
4139
252
610
119
6482
62
629
2157
1894
3644
1000
0
258
28
129
583
6133
1276
81
949
1655
3708
455
938
576
1425
69
1067
16
581
4808
21
47
283
232
1758
3
1
137
440
14329
1454
101
547
44
9089
3018
3924
11685
36068
0
2127
9115
5550
493
2130
5258
725
1746
3912
34
959
2422
32
263
380
4232
790
346
195
1829
97396
223
323
514
8456
5923
4409
28
201
852
3229
1715
1890
13694
1824
65
1018
19
0
439
1568
169
834
233
288
551
78
22335
1517
12056
2085
2083
449
1968
1184
264
1670
1181
1074
205
0
34
621
14
681
121
406
19852
30600
32173
4786
961
185
191
125
36
1803
1256
1602
1060
3984
2930
54903
1456
13799
55
25776
1
0
127
14
3498
19
14
3715
3195
0
626
307
9183
1713
198
1616
1
16
13834
1000
35
18
210
460
275
560
1740
113
68
3450
0
2311
2
1071
82
3925
25
77
17
258
1681
201
1057
464
497
292
377
1073
2669
500
4136
5367
21
418
34206
287
118
4704
79
40
498
3
3021
130
91
18
106
21069
541
541
87
125
154
138
20725
3702
4756
21334
669
26
409
1080
298
6269
116
25
9320
847
2122
457
3146
18
181
75
720
508
912
554
765
2442
797
755
98
4078
4697
713
709
327
8716
1794
18
261
263
95
2034
4168
609
0
96
14
443
292
5765
592
640
414
1526
3392
369
299
18505
0
161
705
1087
74
202
1493
1037
294
40
2661
1069
4161
174
6035
3563
836
218
2542
798
2239
1733
21594
30
6168
5312
74
2477
454
117
6665
31
15
161
5
387
2212
21
77
223
531
740
693
22
5675
3603
3002
182
4865
20158
3260
15
397
24
190
898
422
88
197
13874
70
7629
12373
1438
364
323
710
829
1
281
2512
4040
1285
3897
1178
462
2511
2
60
4131
35
1919
297
0
49
1659
30
682
1274
15
4332
14486
4009
412
