name_with_owner,descricao,valor,lado,severidade,mediana,primary_language,observacao
PostHog/posthog,pull requests aceitas,54903.0,acima,extremo,768.0,Python,
DefinitelyTyped/DefinitelyTyped,pull requests aceitas,53496.0,acima,extremo,768.0,TypeScript,
microsoft/vscode,pull requests aceitas,52239.0,acima,extremo,768.0,TypeScript,
flutter/flutter,pull requests aceitas,49693.0,acima,extremo,768.0,Dart,
tensorflow/tensorflow,pull requests aceitas,48928.0,acima,extremo,768.0,C++,
metabase/metabase,pull requests aceitas,46183.0,acima,extremo,768.0,Clojure,
godotengine/godot,pull requests aceitas,43417.0,acima,extremo,768.0,C++,
ansible/ansible,pull requests aceitas,40061.0,acima,extremo,768.0,Python,
apache/airflow,pull requests aceitas,39752.0,acima,extremo,768.0,Python,
discourse/discourse,pull requests aceitas,37258.0,acima,extremo,768.0,Ruby,
pingcap/tidb,pull requests aceitas,36068.0,acima,extremo,768.0,Go,
nextcloud/server,pull requests aceitas,34206.0,acima,extremo,768.0,PHP,
ray-project/ray,pull requests aceitas,32181.0,acima,extremo,768.0,Python,
frappe/erpnext,pull requests aceitas,32173.0,acima,extremo,768.0,Python,
istio/istio,pull requests aceitas,30600.0,acima,extremo,768.0,Go,
pandas-dev/pandas,pull requests aceitas,29424.0,acima,extremo,768.0,Python,
freeCodeCamp/freeCodeCamp,pull requests aceitas,29136.0,acima,extremo,768.0,TypeScript,
vercel/next.js,pull requests aceitas,28257.0,acima,extremo,768.0,JavaScript,
JuliaLang/julia,pull requests aceitas,27811.0,acima,extremo,768.0,Julia,
milvus-io/milvus,pull requests aceitas,26968.0,acima,extremo,768.0,Go,
rails/rails,pull requests aceitas,26870.0,acima,extremo,768.0,Ruby,
electron/electron,pull requests aceitas,26700.0,acima,extremo,768.0,C++,
openclaw/openclaw,pull requests aceitas,26658.0,acima,extremo,768.0,TypeScript,
zed-industries/zed,pull requests aceitas,26479.0,acima,extremo,768.0,Rust,
servo/servo,pull requests aceitas,25776.0,acima,extremo,768.0,Rust,
expo/expo,pull requests aceitas,23882.0,acima,extremo,768.0,TypeScript,
moby/moby,pull requests aceitas,23052.0,acima,extremo,768.0,Go,
mattermost/mattermost,pull requests aceitas,22335.0,acima,extremo,768.0,TypeScript,
mui/material-ui,pull requests aceitas,22184.0,acima,extremo,768.0,JavaScript,
backstage/backstage,pull requests aceitas,21594.0,acima,extremo,768.0,TypeScript,
hashicorp/vault,pull requests aceitas,21334.0,acima,extremo,768.0,Go,
keycloak/keycloak,pull requests aceitas,21069.0,acima,extremo,768.0,Java,
grpc/grpc,pull requests aceitas,20867.0,acima,extremo,768.0,C++,
jax-ml/jax,pull requests aceitas,20725.0,acima,extremo,768.0,Python,
mastodon/mastodon,pull requests aceitas,20655.0,acima,extremo,768.0,Ruby,
n8n-io/n8n,pull requests aceitas,20277.0,acima,extremo,768.0,TypeScript,
huggingface/transformers,pull requests aceitas,20230.0,acima,extremo,768.0,Python,
vllm-project/vllm,pull requests aceitas,20169.0,acima,extremo,768.0,Python,
SerenityOS/serenity,pull requests aceitas,20158.0,acima,extremo,768.0,C++,
dotnet/aspnetcore,pull requests aceitas,19852.0,acima,extremo,768.0,C#,
go-gitea/gitea,pull requests aceitas,19747.0,acima,extremo,768.0,Go,
apache/superset,pull requests aceitas,19720.0,acima,extremo,768.0,Python,
neovim/neovim,pull requests aceitas,19671.0,acima,extremo,768.0,Vim Script,
