name_with_owner,url,primary_language,metrica,descricao,valor,lado,severidade,limite_inferior,limite_superior,mediana,observacao
hashicorp/vault,https://github.com/hashicorp/vault,Go,accepted_pull_requests,pull requests aceitas,21334.0,acima,extremo,-4700.375,8300.625,768.0,
keycloak/keycloak,https://github.com/keycloak/keycloak,Java,accepted_pull_requests,pull requests aceitas,21069.0,acima,extremo,-4700.375,8300.625,768.0,
grpc/grpc,https://github.com/grpc/grpc,C++,accepted_pull_requests,pull requests aceitas,20867.0,acima,extremo,-4700.375,8300.625,768.0,
jax-ml/jax,https://github.com/jax-ml/jax,Python,accepted_pull_requests,pull requests aceitas,20725.0,acima,extremo,-4700.375,8300.625,768.0,
mastodon/mastodon,https://github.com/mastodon/mastodon,Ruby,accepted_pull_requests,pull requests aceitas,20655.0,acima,extremo,-4700.375,8300.625,768.0,
n8n-io/n8n,https://github.com/n8n-io/n8n,TypeScript,accepted_pull_requests,pull requests aceitas,20277.0,acima,extremo,-4700.375,8300.625,768.0,
huggingface/transformers,https://github.com/huggingface/transformers,Python,accepted_pull_requests,pull requests aceitas,20230.0,acima,extremo,-4700.375,8300.625,768.0,
vllm-project/vllm,https://github.com/vllm-project/vllm,Python,accepted_pull_requests,pull requests aceitas,20169.0,acima,extremo,-4700.375,8300.625,768.0,
SerenityOS/serenity,https://github.com/SerenityOS/serenity,C++,accepted_pull_requests,pull requests aceitas,20158.0,acima,extremo,-4700.375,8300.625,768.0,
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,C#,accepted_pull_requests,pull requests aceitas,19852.0,acima,extremo,-4700.375,8300.625,768.0,
go-gitea/gitea,https://github.com/go-gitea/gitea,Go,accepted_pull_requests,pull requests aceitas,19747.0,acima,extremo,-4700.375,8300.625,768.0,
apache/superset,https://github.com/apache/superset,Python,accepted_pull_requests,pull requests aceitas,19720.0,acima,extremo,-4700.375,8300.625,768.0,
neovim/neovim,https://github.com/neovim/neovim,Vim Script,accepted_pull_requests,pull requests aceitas,19671.0,acima,extremo,-4700.375,8300.625,768.0,
tldr-pages/tldr,https://github.com/tldr-pages/tldr,Markdown,accepted_pull_requests,pull requests aceitas,19516.0,acima,extremo,-4700.375,8300.625,768.0,
supabase/supabase,https://github.com/supabase/supabase,TypeScript,accepted_pull_requests,pull requests aceitas,18727.0,acima,extremo,-4700.375,8300.625,768.0,
laravel/framework,https://github.com/laravel/framework,PHP,accepted_pull_requests,pull requests aceitas,18505.0,acima,extremo,-4700.375,8300.625,768.0,
TryGhost/Ghost,https://github.com/TryGhost/Ghost,JavaScript,accepted_pull_requests,pull requests aceitas,18470.0,acima,extremo,-4700.375,8300.625,768.0,
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,JavaScript,accepted_pull_requests,pull requests aceitas,18304.0,acima,extremo,-4700.375,8300.625,768.0,
ant-design/ant-design,https://github.com/ant-design/ant-design,TypeScript,accepted_pull_requests,pull requests aceitas,18246.0,acima,extremo,-4700.375,8300.625,768.0,
microsoft/playwright,https://github.com/microsoft/playwright,TypeScript,accepted_pull_requests,pull requests aceitas,17730.0,acima,extremo,-4700.375,8300.625,768.0,
langchain-ai/langchain,https://github.com/langchain-ai/langchain,Python,accepted_pull_requests,pull requests aceitas,17285.0,acima,extremo,-4700.375,8300.625,768.0,
RocketChat/Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,TypeScript,accepted_pull_requests,pull requests aceitas,16935.0,acima,extremo,-4700.375,8300.625,768.0,
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,C++,accepted_pull_requests,pull requests aceitas,16837.0,acima,extremo,-4700.375,8300.625,768.0,
denoland/deno,https://github.com/denoland/deno,Rust,accepted_pull_requests,pull requests aceitas,16464.0,acima,extremo,-4700.375,8300.625,768.0,
astral-sh/ruff,https://github.com/astral-sh/ruff,Rust,accepted_pull_requests,pull requests aceitas,16058.0,acima,extremo,-4700.375,8300.625,768.0,
mrdoob/three.js,https://github.com/mrdoob/three.js,JavaScript,accepted_pull_requests,pull requests aceitas,16008.0,acima,extremo,-4700.375,8300.625,768.0,
ccxt/ccxt,https://github.com/ccxt/ccxt,Python,accepted_pull_requests,pull requests aceitas,15604.0,acima,extremo,-4700.375,8300.625,768.0,
Homebrew/brew,https://github.com/Homebrew/brew,Ruby,accepted_pull_requests,pull requests aceitas,15257.0,acima,extremo,-4700.375,8300.625,768.0,
microsoft/TypeScript,https://github.com/microsoft/TypeScript,Go,accepted_pull_requests,pull requests aceitas,14898.0,acima,extremo,-4700.375,8300.625,768.0,
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,Python,accepted_pull_requests,pull requests aceitas,14719.0,acima,extremo,-4700.375,8300.625,768.0,
BerriAI/litellm,https://github.com/BerriAI/litellm,Python,accepted_pull_requests,pull requests aceitas,14603.0,acima,extremo,-4700.375,8300.625,768.0,
FreeCAD/FreeCAD,https://github.com/FreeCAD/FreeCAD,C++,accepted_pull_requests,pull requests aceitas,14486.0,acima,extremo,-4700.375,8300.625,768.0,
appsmithorg/appsmith,https://github.com/appsmithorg/appsmith,TypeScript,accepted_pull_requests,pull requests aceitas,14329.0,acima,extremo,-4700.375,8300.625,768.0,
twentyhq/twenty,https://github.com/twentyhq/twenty,TypeScript,accepted_pull_requests,pull requests aceitas,14087.0,acima,extremo,-4700.375,8300.625,768.0,
opencv/opencv,https://github.com/opencv/opencv,C++,accepted_pull_requests,pull requests aceitas,14064.0,acima,extremo,-4700.375,8300.625,768.0,
apache/kafka,https://github.com/apache/kafka,Java,accepted_pull_requests,pull requests aceitas,13874.0,acima,extremo,-4700.375,8300.625,768.0,
eugenp/tutorials,https://github.com/eugenp/tutorials,Java,accepted_pull_requests,pull requests aceitas,13834.0,acima,extremo,-4700.375,8300.625,768.0,
vlang/v,https://github.com/vlang/v,V,accepted_pull_requests,pull requests aceitas,13799.0,acima,extremo,-4700.375,8300.625,768.0,
pola-rs/polars,https://github.com/pola-rs/polars,Rust,accepted_pull_requests,pull requests aceitas,13694.0,acima,extremo,-4700.375,8300.625,768.0,
hashicorp/terraform,https://github.com/hashicorp/terraform,Go,accepted_pull_requests,pull requests aceitas,13651.0,acima,extremo,-4700.375,8300.625,768.0,
langgenius/dify,https://github.com/langgenius/dify,TypeScript,accepted_pull_requests,pull requests aceitas,13476.0,acima,extremo,-4700.375,8300.625,768.0,
commaai/openpilot,https://github.com/commaai/openpilot,Python,accepted_pull_requests,pull requests aceitas,13303.0,acima,extremo,-4700.375,8300.625,768.0,
nodejs/node,https://github.com/nodejs/node,JavaScript,accepted_pull_requests,pull requests aceitas,13234.0,acima,extremo,-4700.375,8300.625,768.0,
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,TypeScript,accepted_pull_requests,pull requests aceitas,13177.0,acima,extremo,-4700.375,8300.625,768.0,
storybookjs/storybook,https://github.com/storybookjs/storybook,TypeScript,accepted_pull_requests,pull requests aceitas,13144.0,acima,moderado,-4700.375,8300.625,768.0,
calcom/cal.diy,https://github.com/calcom/cal.diy,TypeScript,accepted_pull_requests,pull requests aceitas,13099.0,acima,moderado,-4700.375,8300.625,768.0,
react/react,https://github.com/react/react,JavaScript,accepted_pull_requests,pull requests aceitas,13035.0,acima,moderado,-4700.375,8300.625,768.0,
netdata/netdata,https://github.com/netdata/netdata,Go,accepted_pull_requests,pull requests aceitas,12937.0,acima,moderado,-4700.375,8300.625,768.0,
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,Python,accepted_pull_requests,pull requests aceitas,12373.0,acima,moderado,-4700.375,8300.625,768.0,
rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,Ruby,accepted_pull_requests,pull requests aceitas,12056.0,acima,moderado,-4700.375,8300.625,768.0,
duckdb/duckdb,https://github.com/duckdb/duckdb,C++,accepted_pull_requests,pull requests aceitas,11685.0,acima,moderado,-4700.375,8300.625,768.0,
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Python,accepted_pull_requests,pull requests aceitas,11403.0,acima,moderado,-4700.375,8300.625,768.0,
django/django,https://github.com/django/django,Python,accepted_pull_requests,pull requests aceitas,10691.0,acima,moderado,-4700.375,8300.625,768.0,
etcd-io/etcd,https://github.com/etcd-io/etcd,Go,accepted_pull_requests,pull requests aceitas,10620.0,acima,moderado,-4700.375,8300.625,768.0,
strapi/strapi,https://github.com/strapi/strapi,TypeScript,accepted_pull_requests,pull requests aceitas,10382.0,acima,moderado,-4700.375,8300.625,768.0,
prettier/prettier,https://github.com/prettier/prettier,JavaScript,accepted_pull_requests,pull requests aceitas,10242.0,acima,moderado,-4700.375,8300.625,768.0,
astral-sh/uv,https://github.com/astral-sh/uv,Rust,accepted_pull_requests,pull requests aceitas,10153.0,acima,moderado,-4700.375,8300.625,768.0,
immich-app/immich,https://github.com/immich-app/immich,TypeScript,accepted_pull_requests,pull requests aceitas,10044.0,acima,moderado,-4700.375,8300.625,768.0,
minio/minio,https://github.com/minio/minio,Go,accepted_pull_requests,pull requests aceitas,9882.0,acima,moderado,-4700.375,8300.625,768.0,
oven-sh/bun,https://github.com/oven-sh/bun,Rust,accepted_pull_requests,pull requests aceitas,9801.0,acima,moderado,-4700.375,8300.625,768.0,
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,C++,accepted_pull_requests,pull requests aceitas,9789.0,acima,moderado,-4700.375,8300.625,768.0,
