name_with_owner,primary_language,language_group,is_popular_language,open_issues,closed_issues,total_issues,has_issues,closed_issues_percentage
react/react-native,C++,C++,True,673,27108,27781,True,97.57748101220258
ggml-org/llama.cpp,C++,C++,True,781,8794,9575,True,91.84334203655352
kubernetes/kubernetes,Go,Go,True,1854,47703,49557,True,96.25885344149162
electron/electron,C++,C++,True,677,21154,21831,True,96.89890522651275
shadcn-ui/ui,TypeScript,TypeScript,True,1070,3175,4245,True,74.79387514723203
rustdesk/rustdesk,Rust,Rust,False,79,4229,4308,True,98.16620241411329
nodejs/node,JavaScript,JavaScript,True,654,20130,20784,True,96.85334872979215
nextlevelbuilder/ui-ux-pro-max-skill,Python,Python,True,39,135,174,True,77.58620689655173
Hack-with-Github/Awesome-Hacking,,Sem linguagem identificada,False,0,0,0,False,
justjavac/free-programming-books-zh_CN,,Sem linguagem identificada,False,0,0,0,False,
microsoft/generative-ai-for-beginners,Jupyter Notebook,Jupyter Notebook,False,0,244,244,True,100.0
godotengine/godot,C++,C++,True,13408,49988,63396,True,78.85040065619282
rust-lang/rust,Rust,Rust,False,11326,52232,63558,True,82.18005601183171
mrdoob/three.js,JavaScript,JavaScript,True,247,13499,13746,True,98.20311363305689
2dust/v2rayN,C#,C#,True,20,7122,7142,True,99.71996639596752
d3/d3,Shell,Shell,True,5,2242,2247,True,99.7774810858923
harry0703/MoneyPrinterTurbo,Python,Python,True,20,756,776,True,97.42268041237114
immich-app/immich,TypeScript,TypeScript,True,479,8675,9154,True,94.76731483504479
jaywcjlove/awesome-mac,Swift,Swift,False,159,403,562,True,71.70818505338077
tauri-apps/tauri,Rust,Rust,False,1284,5136,6420,True,80.0
microsoft/TypeScript,Go,Go,True,5140,38251,43391,True,88.15422553063999
browser-use/browser-use,Python,Python,True,103,1504,1607,True,93.59054138145612
VoltAgent/awesome-design-md,,Sem linguagem identificada,False,307,78,385,True,20.259740259740262
axios/axios,JavaScript,JavaScript,True,47,5009,5056,True,99.07041139240506
fatedier/frp,Go,Go,True,43,4100,4143,True,98.96210475500845
papers-we-love/papers-we-love,Shell,Shell,True,2,250,252,True,99.20634920634922
Graphify-Labs/graphify,Python,Python,True,486,922,1408,True,65.48295454545455
denoland/deno,Rust,Rust,False,1183,13827,15010,True,92.11858760826117
supabase/supabase,TypeScript,TypeScript,True,272,5571,5843,True,95.34485709395858
openai/whisper,Python,Python,True,0,0,0,False,
openai/codex,Rust,Rust,False,13086,10516,23602,True,44.55554614015762
DietrichGebert/ponytail,JavaScript,JavaScript,True,62,211,273,True,77.2893772893773
google-gemini/gemini-cli,TypeScript,TypeScript,True,558,13669,14227,True,96.07788008715822
goldbergyoni/nodebestpractices,Dockerfile,Dockerfile,False,54,288,342,True,84.21052631578947
microsoft/terminal,C++,C++,True,1647,12413,14060,True,88.28591749644382
deepseek-ai/DeepSeek-V3,Python,Python,True,141,945,1086,True,87.01657458563537
react/create-react-app,JavaScript,JavaScript,True,1856,6576,8432,True,77.98861480075901
