id,name_with_owner,language_category,metrica,descricao,valor,limite_inferior,limite_superior
MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==,grafana/grafana,Popular,accepted_pull_requests,Pull requests aceitas,69561,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,python/cpython,Popular,accepted_pull_requests,Pull requests aceitas,62701,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzOTQ2NDAxOA==,apache/superset,Popular,accepted_pull_requests,Pull requests aceitas,19720,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk0MzQ0MTQwMw==,strapi/strapi,Popular,accepted_pull_requests,Pull requests aceitas,10382,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby/moby,Popular,accepted_pull_requests,Pull requests aceitas,23052,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyMzM1NzU4OA==,protocolbuffers/protobuf,Popular,accepted_pull_requests,Pull requests aceitas,9765,-4700.375,8300.625
R_kgDOHvxvHg,toeverything/AFFiNE,Popular,accepted_pull_requests,Pull requests aceitas,9352,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNjM4OTY0,ansible/ansible,Popular,accepted_pull_requests,Pull requests aceitas,40061,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,swiftlang/swift,Não popular,accepted_pull_requests,Pull requests aceitas,60720,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk4NDMyMjI=,scikit-learn/scikit-learn,Popular,accepted_pull_requests,Pull requests aceitas,14719,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk2ODM4OTIx,prometheus/prometheus,Popular,accepted_pull_requests,Pull requests aceitas,8845,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3NDYyNzYxNw==,commaai/openpilot,Popular,accepted_pull_requests,Pull requests aceitas,13303,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNTAxOTk2Mg==,tldr-pages/tldr,Não popular,accepted_pull_requests,Pull requests aceitas,19516,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNDgwNjAyMjc=,withastro/astro,Popular,accepted_pull_requests,Pull requests aceitas,9244,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkyOTI2MTQ3Mw==,minio/minio,Popular,accepted_pull_requests,Pull requests aceitas,9882,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3MTk5NTkzNw==,nuxt/nuxt,Popular,accepted_pull_requests,Pull requests aceitas,8314,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk4NTE0,rails/rails,Não popular,accepted_pull_requests,Pull requests aceitas,26870,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3MjQ5NTU3OQ==,go-gitea/gitea,Popular,accepted_pull_requests,Pull requests aceitas,19747,-4700.375,8300.625
R_kgDOKALCgQ,BerriAI/litellm,Popular,accepted_pull_requests,Pull requests aceitas,14603,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkzNjA0MDg5NA==,gatsbyjs/gatsby,Popular,accepted_pull_requests,Pull requests aceitas,18304,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk2ODcyMDg2Nw==,firstcontributions/first-contributions,,accepted_pull_requests,Pull requests aceitas,103403,-4700.375,8300.625
R_kgDOIicM-w,twentyhq/twenty,Popular,accepted_pull_requests,Pull requests aceitas,14087,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk0OTYwOTU4MQ==,PowerShell/PowerShell,Popular,accepted_pull_requests,Pull requests aceitas,8471,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk5ODUyOTE4,TryGhost/Ghost,Popular,accepted_pull_requests,Pull requests aceitas,18470,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNjYzNDY4,mozilla/pdf.js,Popular,accepted_pull_requests,Pull requests aceitas,9229,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==,prettier/prettier,Popular,accepted_pull_requests,Pull requests aceitas,10242,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxMTIyNTAxNA==,etcd-io/etcd,Popular,accepted_pull_requests,Pull requests aceitas,10620,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk2NTc1MDI0MQ==,expo/expo,Popular,accepted_pull_requests,Pull requests aceitas,23882,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnk2MDkzMzE2,DefinitelyTyped/DefinitelyTyped,Popular,accepted_pull_requests,Pull requests aceitas,53496,-4700.375,8300.625
MDEwOlJlcG9zaXRvcnkxNTQ1MjkxOQ==,ethereum/go-ethereum,Popular,accepted_pull_requests,Pull requests aceitas,9279,-4700.375,8300.625
