métrica,n,pearson,spearman
Idade (anos) — RQ01,1000,0.0005278504056943,-0.0329926294875189
Pull requests aceitas — RQ02,1000,0.0834446111869038,0.1071657236077476
Releases — RQ03,1000,-0.0219906052445681,-0.0186318066025865
Dias desde o último push — RQ04,1000,-0.0871366427406076,-0.1108569812003296
Issues totais — RQ06,1000,0.1681877136908288,0.0863622833092947
% de issues fechadas — RQ06,957,0.0334375749127484,0.0406865753033986
